depth_cum,depth_bin,horizontal_cum,horizontal_bin
0.0,0.0,0.0,0.0
0.07150469915705843,0.38546819395,0.3480282918321868,0.50765069762
0.23863966669896328,0.7709363879,0.6077899428349967,1.01530139524
0.45305687433388236,1.15640458185,0.7675612828214321,1.5229520928600002
0.6646642767173723,1.5418727758,0.8750121112295322,2.03060279048
0.8305396763879468,1.92734096975,0.947824823176049,2.5382534881
0.9182249781997868,2.3128091637,0.9797500242224593,3.0459041857200004
0.9628911927138842,2.69827735765,0.9917159190000971,3.5535548833400004
0.9892452281755643,3.0837455516,0.9972386396666992,4.06120558096
0.9988373219649258,3.46921374555,0.9984982075380295,4.56885627858
0.9999999999999999,3.8546819395,1.0000000000000002,5.0765069762
